Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
The Simpsons Game,PSP,2007.0,Action,Electronic Arts,0.24,0.55,0.0,0.31,1.09
Yakuza 2,PS2,2006.0,Adventure,Sega,0.05,0.04,0.84,0.16,1.09
Skate 2,X360,2009.0,Sports,Electronic Arts,0.82,0.17,0.01,0.09,1.09
Virtua Fighter 5,PS3,2007.0,Fighting,Sega,0.29,0.52,0.08,0.2,1.09
NFL 2K1,DC,2000.0,Sports,Sega,1.02,0.05,0.0,0.02,1.09
Madden NFL 2004,XB,2003.0,Sports,Electronic Arts,1.02,0.02,0.0,0.05,1.09
Empire: Total War,PC,2009.0,Strategy,Sega,0.01,0.97,0.0,0.11,1.09
The Godfather,PS2,2006.0,Action,Electronic Arts,0.89,0.03,0.01,0.15,1.09
Tiger Woods PGA Tour 10,Wii,2009.0,Sports,Electronic Arts,0.61,0.37,0.0,0.11,1.09
Dante's Inferno,PS3,2010.0,Action,Electronic Arts,0.64,0.28,0.04,0.13,1.09
Sonic & Sega All-Stars Racing,DS,2010.0,Racing,Sega,0.44,0.54,0.0,0.11,1.09
Skylanders Giants,PS3,2012.0,Action,Activision,0.35,0.52,0.0,0.22,1.09
Endless Ocean,Wii,2007.0,Adventure,Nintendo,0.44,0.47,0.09,0.09,1.09
Sonic Free Riders,X360,2010.0,Racing,Sega,0.74,0.26,0.0,0.09,1.09
NASCAR Thunder 2004,PS2,2003.0,Racing,Electronic Arts,0.53,0.41,0.0,0.14,1.08
Prince of Persia,PS3,2008.0,Action,Ubisoft,0.47,0.41,0.03,0.18,1.08
Grand Theft Auto V,PC,2015.0,Action,Take-Two Interactive,0.36,0.64,0.0,0.08,1.08
MySims Agents,DS,2009.0,Adventure,Electronic Arts,0.55,0.43,0.0,0.11,1.08
NCAA Football 13,X360,2012.0,Action,Electronic Arts,1.02,0.0,0.0,0.06,1.08
Grand Theft Auto: Chinatown Wars,PSP,2009.0,Action,Take-Two Interactive,0.28,0.5,0.03,0.28,1.08
FIFA Soccer 11,Wii,2010.0,Sports,Electronic Arts,0.26,0.69,0.0,0.12,1.08
The Orange Box,PS3,2007.0,Shooter,Electronic Arts,0.28,0.59,0.0,0.22,1.08
Tom Clancy's Ghost Recon 2,PS2,2004.0,Shooter,Ubisoft,0.64,0.34,0.0,0.1,1.08
LEGO City Undercover,WiiU,2013.0,Platform,Nintendo,0.47,0.4,0.13,0.08,1.08
Disney's Lilo & Stitch,GBA,2002.0,Platform,Ubisoft,0.77,0.29,0.0,0.02,1.08
Star Fox: Assault,GC,2005.0,Shooter,Nintendo,0.68,0.18,0.19,0.03,1.08
NCAA Football 14,X360,2013.0,Sports,Electronic Arts,1.01,0.0,0.0,0.06,1.07
Call of Duty 3,PS2,2006.0,Shooter,Activision,0.89,0.03,0.0,0.15,1.07
Red Dead Redemption: Undead Nightmare,X360,2010.0,Action,Take-Two Interactive,0.57,0.39,0.02,0.09,1.07
Bully: Scholarship Edition,X360,2008.0,Action,Take-Two Interactive,0.53,0.4,0.03,0.11,1.07
Virtua Fighter,SAT,1994.0,Fighting,Sega,0.17,0.12,0.77,0.02,1.07
Super Princess Peach,DS,2005.0,Platform,Nintendo,0.72,0.06,0.21,0.07,1.07
NHL 99,PS,1997.0,Sports,Electronic Arts,0.59,0.4,0.0,0.07,1.07
Skylanders SWAP Force,PS3,2013.0,Platform,Activision,0.43,0.44,0.0,0.2,1.07
World Tour Soccer,PSP,2005.0,Sports,Sony Computer Entertainment,0.1,0.63,0.0,0.34,1.07
Ridge Racer Revolution,PS,1995.0,Racing,Sony Computer Entertainment,0.17,0.12,0.71,0.07,1.07
Hot Wheels Turbo Racing,PS,1999.0,Racing,Electronic Arts,0.59,0.4,0.0,0.07,1.07
NCAA Football 99,PS,1998.0,Sports,Electronic Arts,0.59,0.4,0.0,0.07,1.06
Aliens vs Predator,X360,2010.0,Shooter,Sega,0.55,0.4,0.0,0.11,1.06
Freekstyle,PS2,2002.0,Racing,Electronic Arts,0.52,0.41,0.0,0.14,1.06
Call of Duty 4: Modern Warfare,DS,2007.0,Shooter,Activision,0.96,0.02,0.01,0.08,1.06
Sega Superstars Tennis,Wii,2008.0,Sports,Sega,0.28,0.65,0.0,0.13,1.06
NBA Street V3,PS2,2005.0,Sports,Electronic Arts,0.52,0.41,0.0,0.14,1.06
Mercenaries 2: World in Flames,X360,2008.0,Shooter,Electronic Arts,0.65,0.3,0.01,0.1,1.06
LEGO Indiana Jones: The Original Adventures,PS3,2008.0,Action,Activision,0.44,0.44,0.0,0.18,1.06
Dora the Explorer: Dora Saves the Mermaids,DS,2007.0,Platform,Take-Two Interactive,0.97,0.01,0.0,0.08,1.06
Spider-Man 2,GBA,2004.0,Action,Activision,0.76,0.28,0.0,0.02,1.06
Virtua Tennis 3,PS3,2007.0,Sports,Sega,0.23,0.59,0.03,0.22,1.06
Assassin's Creed: Rogue,X360,2014.0,Action,Ubisoft,0.58,0.38,0.0,0.09,1.05
SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PSP,2006.0,Shooter,Sony Computer Entertainment,0.81,0.11,0.0,0.13,1.05
Skylanders: Trap Team,Wii,2014.0,Action,Activision,0.42,0.54,0.0,0.08,1.05
Aliens vs Predator,PS3,2010.0,Shooter,Sega,0.41,0.47,0.0,0.18,1.05
Arc the Lad II,PS,1996.0,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.92,0.13,1.05
NBA 2K3,PS2,2002.0,Sports,Sega,0.51,0.4,0.0,0.13,1.05
The Simpsons: Road Rage,XB,2001.0,Racing,Electronic Arts,0.78,0.26,0.0,0.01,1.05
Sonic the Hedgehog,X360,2006.0,Platform,Sega,0.44,0.49,0.0,0.11,1.05
MySims Agents,Wii,2009.0,Adventure,Electronic Arts,0.62,0.32,0.0,0.1,1.05
Pokemon Conquest,DS,2012.0,Role-Playing,Nintendo,0.58,0.06,0.37,0.04,1.05
The Simpsons Game,X360,2007.0,Action,Electronic Arts,0.54,0.4,0.0,0.11,1.05
MVP Baseball 2003,PS2,2003.0,Sports,Electronic Arts,0.51,0.4,0.0,0.13,1.04
Naruto: Clash of Ninja 2,GC,2003.0,Fighting,Nintendo,0.44,0.12,0.45,0.03,1.04
F-Zero: Maximum Velocity,GBA,2001.0,Racing,Nintendo,0.39,0.16,0.37,0.12,1.04
LEGO Indiana Jones 2: The Adventure Continues,X360,2009.0,Action,Activision,0.62,0.33,0.0,0.09,1.04
Need for Speed: Most Wanted,XB,2005.0,Racing,Electronic Arts,0.53,0.46,0.0,0.05,1.04
Kirby: Mass Attack,DS,2011.0,Platform,Nintendo,0.52,0.06,0.41,0.05,1.04
Tom Clancy's Ghost Recon Advanced Warfighter 2,PS3,2007.0,Shooter,Ubisoft,0.34,0.48,0.02,0.19,1.04
MotorStorm: Arctic Edge,PSP,2009.0,Racing,Sony Computer Entertainment,0.16,0.58,0.0,0.3,1.04
WipEout Pure,PSP,2005.0,Racing,Sony Computer Entertainment,0.47,0.34,0.0,0.22,1.04
EA Sports UFC,PS4,2014.0,Sports,Electronic Arts,0.46,0.4,0.01,0.17,1.04
Sonic Unleashed,PS3,2008.0,Platform,Sega,0.56,0.33,0.01,0.14,1.03
Tiger Woods PGA Tour 08,Wii,2007.0,Sports,Electronic Arts,0.94,0.02,0.0,0.08,1.03
Rayman Origins,PS3,2011.0,Platform,Ubisoft,0.33,0.51,0.01,0.18,1.03
NCAA March Madness 2004,PS2,2003.0,Sports,Electronic Arts,0.5,0.39,0.0,0.13,1.03
Donkey Kong Land III,GB,,Platform,Nintendo,0.68,0.31,0.0,0.04,1.03
The Simpsons Game,Wii,2007.0,Action,Electronic Arts,0.45,0.47,0.0,0.11,1.03
Bulletstorm,X360,2011.0,Shooter,Electronic Arts,0.61,0.32,0.01,0.08,1.02
FIFA Soccer 08,Wii,2007.0,Sports,Electronic Arts,0.32,0.59,0.01,0.11,1.02
Tom Clancy's Ghost Recon Advanced Warfighter 2,X360,2007.0,Shooter,Ubisoft,0.87,0.05,0.02,0.08,1.02
ZombiU,WiiU,2012.0,Action,Ubisoft,0.53,0.36,0.05,0.08,1.02
Shrek 2,GC,2004.0,Platform,Activision,0.73,0.26,0.01,0.03,1.02
The Lost World: Jurassic Park,PS,1997.0,Action,Electronic Arts,0.57,0.39,0.0,0.07,1.02
Madden NFL 07,XB,2006.0,Sports,Electronic Arts,0.97,0.03,0.0,0.03,1.02
Harry Potter and the Prisoner of Azkaban,PS2,2004.0,Action,Electronic Arts,0.5,0.39,0.0,0.13,1.02
Bayonetta 2,WiiU,2014.0,Action,Nintendo,0.34,0.28,0.1,0.3,1.01
Prince of Persia,X360,2008.0,Action,Ubisoft,0.54,0.35,0.02,0.1,1.01
God of War: Ghost of Sparta,PSP,2010.0,Action,Sony Computer Entertainment,0.41,0.36,0.03,0.21,1.01
Sonic Generations,3DS,2011.0,Platform,Sega,0.44,0.46,0.01,0.09,1.01
Rayman Legends,PS4,2014.0,Platform,Ubisoft,0.21,0.61,0.0,0.18,1.01
NERF N-Strike Elite,Wii,2009.0,Shooter,Electronic Arts,0.93,0.0,0.0,0.07,1.0
Excitebike 64,N64,2000.0,Racing,Nintendo,0.65,0.15,0.19,0.01,1.0
NES Open Tournament Golf,NES,1991.0,Sports,Nintendo,0.41,0.1,0.47,0.02,1.0
Haze,PS3,2008.0,Shooter,Ubisoft,0.49,0.33,0.02,0.15,1.0
Road & Track Presents: The Need for Speed,PS,1995.0,Racing,Electronic Arts,0.56,0.38,0.0,0.07,1.0
NFL GameDay 2001,PS,2000.0,Sports,Sony Computer Entertainment,0.56,0.38,0.0,0.07,1.0
NBA Live 97,PS,1996.0,Sports,Electronic Arts,0.55,0.38,0.0,0.07,1.0
Dead Space 3,PS3,2013.0,Action,Electronic Arts,0.44,0.38,0.0,0.17,1.0
Dead Space 3,X360,2013.0,Action,Electronic Arts,0.64,0.28,0.0,0.08,0.99
Tom Clancy's Splinter Cell: Blacklist,X360,2013.0,Action,Ubisoft,0.57,0.34,0.01,0.08,0.99
NCAA Football 12,X360,2011.0,Sports,Electronic Arts,0.94,0.0,0.0,0.06,0.99
Midnight Club: LA Remix,PSP,2008.0,Racing,Take-Two Interactive,0.52,0.28,0.0,0.19,0.99
The Bouncer,PS2,2000.0,Action,Sony Computer Entertainment,0.3,0.23,0.38,0.08,0.99
FIFA Soccer 10,Wii,2009.0,Sports,Electronic Arts,0.23,0.65,0.0,0.11,0.99
Shadow The Hedgehog,GC,2005.0,Platform,Sega,0.76,0.2,0.0,0.03,0.99
Far Cry 3,PC,2012.0,Shooter,Ubisoft,0.21,0.62,0.0,0.14,0.98
Xenoblade Chronicles,Wii,2010.0,Role-Playing,Nintendo,0.49,0.26,0.16,0.08,0.98
Sonic & Sega All-Stars Racing,PS3,2010.0,Racing,Sega,0.36,0.46,0.0,0.17,0.98
NASCAR 99,N64,1998.0,Racing,Electronic Arts,0.94,0.04,0.0,0.01,0.98
South Park: The Stick of Truth,PS3,2014.0,Role-Playing,Ubisoft,0.42,0.38,0.0,0.17,0.98
Driver: San Francisco,PS3,2011.0,Racing,Ubisoft,0.24,0.54,0.01,0.18,0.98
Far Cry 4,X360,2014.0,Shooter,Ubisoft,0.45,0.44,0.0,0.08,0.98
Grand Theft Auto: San Andreas,PC,2005.0,Action,Take-Two Interactive,0.0,0.92,0.0,0.05,0.98
Tom Clancy's Splinter Cell: Blacklist,PS3,2013.0,Action,Ubisoft,0.34,0.41,0.06,0.18,0.98
Madden NFL 16,X360,2015.0,Sports,Electronic Arts,0.82,0.05,0.0,0.1,0.98
Madden NFL 10,PS2,2009.0,Sports,Electronic Arts,0.88,0.0,0.0,0.1,0.98
Brutal Legend,X360,2009.0,Action,Electronic Arts,0.62,0.27,0.0,0.09,0.98
Madden NFL 08,PS3,2007.0,Sports,Electronic Arts,0.89,0.01,0.0,0.08,0.97
NCAA Football 06,XB,2005.0,Sports,Electronic Arts,0.73,0.21,0.0,0.03,0.97
Mass Effect 3,PC,2012.0,Role-Playing,Electronic Arts,0.4,0.44,0.0,0.13,0.97
NBA 2K10,X360,2009.0,Sports,Take-Two Interactive,0.88,0.02,0.0,0.08,0.97
Fire Emblem,GBA,2003.0,Strategy,Nintendo,0.49,0.18,0.29,0.01,0.97
Yakuza 4,PS3,,Action,Sega,0.15,0.14,0.63,0.05,0.97
Skylanders: Spyro's Adventure,X360,2011.0,Action,Activision,0.53,0.35,0.0,0.1,0.97
NHL 2004,PS2,2003.0,Sports,Electronic Arts,0.47,0.37,0.0,0.12,0.97
Grand Theft Auto: Vice City Stories,PS2,2007.0,Action,Take-Two Interactive,0.78,0.03,0.03,0.13,0.97
NBA 2K16,X360,2015.0,Sports,Take-Two Interactive,0.77,0.1,0.0,0.1,0.97
FIFA Soccer 2005,XB,2004.0,Sports,Electronic Arts,0.33,0.6,0.0,0.04,0.97
Medal of Honor: Underground,PS,2000.0,Shooter,Electronic Arts,0.54,0.37,0.0,0.06,0.97
Dark Cloud 2,PS2,2002.0,Role-Playing,Sony Computer Entertainment,0.38,0.25,0.26,0.07,0.96
PlayStation All-Stars Battle Royale,PS3,2012.0,Action,Sony Computer Entertainment,0.5,0.28,0.04,0.14,0.96
Gangs of London,PSP,2006.0,Adventure,Sony Computer Entertainment,0.3,0.44,0.0,0.22,0.96
Sonic Unleashed,X360,2008.0,Platform,Sega,0.54,0.33,0.0,0.09,0.96
NHL 2001,PS2,2000.0,Sports,Electronic Arts,0.47,0.37,0.0,0.12,0.96
My Weight Loss Coach,DS,2008.0,Sports,Ubisoft,0.3,0.54,0.0,0.11,0.96
Tom Clancy's Ghost Recon: Future Soldier,PS3,2012.0,Shooter,Ubisoft,0.41,0.33,0.09,0.12,0.96
Shinobi,PS2,2002.0,Platform,Sony Computer Entertainment,0.36,0.28,0.22,0.09,0.96
Tom Clancy's Splinter Cell: Chaos Theory,PS2,2005.0,Action,Ubisoft,0.36,0.45,0.0,0.14,0.95
South Park: The Stick of Truth,X360,2014.0,Role-Playing,Ubisoft,0.57,0.3,0.0,0.08,0.95
Wild ARMs,PS,1996.0,Role-Playing,Sony Computer Entertainment,0.26,0.17,0.46,0.06,0.95
Kessen,PS2,2000.0,Strategy,Electronic Arts,0.27,0.21,0.41,0.07,0.95
NCAA Football 2000,PS,1999.0,Sports,Electronic Arts,0.53,0.36,0.0,0.06,0.95
Brutal Legend,PS3,2009.0,Action,Electronic Arts,0.54,0.28,0.0,0.13,0.95
Skylanders: Spyro's Adventure,PS3,2011.0,Action,Activision,0.39,0.4,0.0,0.16,0.95
Evolve,PS4,2015.0,Shooter,Take-Two Interactive,0.35,0.41,0.05,0.15,0.95
Army of Two: The 40th Day,X360,2010.0,Shooter,Electronic Arts,0.62,0.24,0.0,0.08,0.95
Tony Hawk: RIDE,Wii,2009.0,Sports,Activision,0.7,0.17,0.0,0.08,0.95
Killzone,PS2,2004.0,Shooter,Sony Computer Entertainment,0.79,0.03,0.0,0.13,0.94
Star Fox 64 3D,3DS,2011.0,Shooter,Nintendo,0.48,0.27,0.13,0.07,0.94
Assassin's Creed III,PC,2012.0,Action,Ubisoft,0.28,0.53,0.0,0.13,0.94
Mario Tennis Open,3DS,2012.0,Sports,Nintendo,0.26,0.29,0.33,0.05,0.94
Bayonetta,X360,2009.0,Action,Sega,0.51,0.26,0.09,0.08,0.94
MVP Baseball 2005,XB,2005.0,Sports,Electronic Arts,0.7,0.2,0.0,0.03,0.94
NCAA Football 10,X360,2009.0,Sports,Electronic Arts,0.87,0.0,0.0,0.07,0.94
MLB 2000,PS,1999.0,Sports,Sony Computer Entertainment,0.52,0.35,0.0,0.06,0.94
The Legend of Zelda: Twilight Princess HD,WiiU,2016.0,Action,Nintendo,0.48,0.3,0.08,0.08,0.94
Bully,PS2,2006.0,Action,Take-Two Interactive,0.75,0.03,0.04,0.12,0.94
Prince of Persia: The Sands of Time,XB,2003.0,Action,Ubisoft,0.57,0.33,0.0,0.04,0.94
Phantasy Star Portable,PSP,2008.0,Role-Playing,Sega,0.19,0.06,0.63,0.05,0.94
Hot Shots Golf Fore!,PS2,2003.0,Sports,Sony Computer Entertainment,0.46,0.36,0.0,0.12,0.94
MLB 06: The Show,PS2,2006.0,Sports,Sony Computer Entertainment,0.78,0.03,0.0,0.13,0.94
NHL 2003,PS2,2002.0,Sports,Electronic Arts,0.46,0.36,0.0,0.12,0.93
Nickelodeon Fit,Wii,2010.0,Sports,Take-Two Interactive,0.78,0.09,0.0,0.06,0.93
Tony Hawk's Pro Skater 4,XB,2002.0,Sports,Activision,0.59,0.3,0.0,0.04,0.93
Borderlands 2,PC,2012.0,Shooter,Take-Two Interactive,0.42,0.41,0.0,0.11,0.93
EA Sports Grand Slam Tennis,Wii,2009.0,Sports,Electronic Arts,0.29,0.52,0.02,0.11,0.93
White Knight Chronicles: International Edition,PS3,2008.0,Role-Playing,Sony Computer Entertainment,0.33,0.16,0.36,0.08,0.93
SSX,PS3,2012.0,Sports,Electronic Arts,0.35,0.42,0.02,0.14,0.93
Sonic Riders: Zero Gravity,Wii,2008.0,Racing,Sega,0.5,0.32,0.02,0.1,0.93
Toy Story 2: Buzz Lightyear to the Rescue!,N64,1999.0,Platform,Activision,0.71,0.2,0.0,0.01,0.93
MLB 07: The Show,PS2,2007.0,Sports,Sony Computer Entertainment,0.77,0.03,0.0,0.13,0.93
Skylanders: Trap Team,X360,2014.0,Action,Activision,0.54,0.31,0.0,0.08,0.93
Brothers in Arms: Hell's Highway,PS3,2008.0,Shooter,Ubisoft,0.44,0.34,0.0,0.15,0.93
SnoCross Championship Racing,PS,1999.0,Racing,Ubisoft,0.52,0.35,0.0,0.06,0.93
007: The World is not Enough,PS,2000.0,Action,Electronic Arts,0.51,0.35,0.0,0.06,0.92
NCAA Football 11,X360,2010.0,Sports,Electronic Arts,0.86,0.0,0.0,0.06,0.92
NHL 98,PS,1997.0,Sports,Electronic Arts,0.51,0.35,0.0,0.06,0.92
FIFA Street,X360,2012.0,Sports,Electronic Arts,0.17,0.65,0.0,0.1,0.92
EA Sports Active 2,PS3,2010.0,Sports,Electronic Arts,0.52,0.28,0.0,0.12,0.92
Dante's Inferno,X360,2010.0,Action,Electronic Arts,0.63,0.2,0.02,0.07,0.92
Kung Fu Panda,Wii,2008.0,Action,Activision,0.5,0.32,0.0,0.09,0.92
Knockout Kings 2000,N64,1999.0,Fighting,Electronic Arts,0.63,0.27,0.0,0.02,0.92
Balloon Fight,NES,1985.0,Platform,Nintendo,0.39,0.09,0.43,0.01,0.92
Assassin's Creed,PC,2008.0,Adventure,Ubisoft,0.01,0.83,0.0,0.08,0.92
Disney Magical World,3DS,2013.0,Adventure,Nintendo,0.16,0.2,0.53,0.03,0.92
Crysis 3,X360,2013.0,Shooter,Electronic Arts,0.51,0.33,0.01,0.08,0.92
MLB 12: The Show,PS3,2012.0,Sports,Sony Computer Entertainment,0.86,0.0,0.0,0.06,0.92
Sonic Riders,GC,2006.0,Racing,Sega,0.71,0.18,0.0,0.03,0.92
Tobal No.1,PS,1996.0,Fighting,Sony Computer Entertainment,0.12,0.08,0.66,0.06,0.92
MLB 15: The Show,PS4,2015.0,Sports,Sony Computer Entertainment,0.67,0.08,0.0,0.17,0.92
Street Hoops,PS2,2002.0,Sports,Activision,0.45,0.35,0.0,0.12,0.91
Avatar: The Game,PS3,2009.0,Action,Ubisoft,0.32,0.43,0.0,0.16,0.91
Tom Clancy's EndWar,X360,2008.0,Strategy,Ubisoft,0.58,0.24,0.01,0.09,0.91
Knockout Kings 2002,PS2,2002.0,Sports,Electronic Arts,0.45,0.35,0.0,0.12,0.91
LEGO Indiana Jones 2: The Adventure Continues,PS3,2009.0,Action,Activision,0.47,0.3,0.0,0.13,0.91
Marvel: Ultimate Alliance 2,X360,2009.0,Role-Playing,Activision,0.68,0.15,0.0,0.08,0.91
Call of Duty: World at War,DS,2008.0,Shooter,Activision,0.57,0.26,0.0,0.08,0.91
Dragon Age: Inquisition,XOne,2014.0,Role-Playing,Electronic Arts,0.55,0.28,0.0,0.07,0.91
The Simpsons Game,PS3,2007.0,Action,Electronic Arts,0.38,0.37,0.0,0.15,0.91
Tiger Woods PGA Tour 2002,PS2,2002.0,Sports,Electronic Arts,0.44,0.35,0.0,0.12,0.9
MLB 2005,PS2,2004.0,Sports,Sony Computer Entertainment,0.44,0.35,0.0,0.12,0.9
SOCOM 4: U.S. Navy SEALs,PS3,2011.0,Shooter,Sony Computer Entertainment,0.66,0.12,0.04,0.08,0.9
Burnout Revenge,PS2,2005.0,Racing,Electronic Arts,0.75,0.03,0.0,0.12,0.9
Crysis 3,PS3,2013.0,Shooter,Electronic Arts,0.26,0.43,0.03,0.18,0.9
Hot Shots Tennis,PS2,2006.0,Sports,Sony Computer Entertainment,0.17,0.13,0.55,0.05,0.9
Sonic Heroes,XB,2003.0,Platform,Sega,0.41,0.43,0.01,0.05,0.9
Resistance: Retribution,PSP,2009.0,Shooter,Sony Computer Entertainment,0.27,0.36,0.05,0.22,0.9
Tiger Woods PGA Tour 12: The Masters,PS3,2011.0,Sports,Electronic Arts,0.52,0.26,0.0,0.12,0.9
Madden NFL 99,N64,1998.0,Sports,Electronic Arts,0.84,0.05,0.0,0.01,0.9
Spider-Man 3,PS2,2007.0,Platform,Activision,0.74,0.03,0.01,0.12,0.9
James Bond 007: Agent Under Fire,XB,2002.0,Shooter,Electronic Arts,0.65,0.22,0.0,0.03,0.9
FIFA Soccer 09 All-Play,Wii,2008.0,Sports,Electronic Arts,0.29,0.52,0.0,0.09,0.9
Fossil Fighters,DS,2008.0,Role-Playing,Nintendo,0.84,0.0,0.0,0.06,0.9
LittleBigPlanet Karting,PS3,2012.0,Action,Sony Computer Entertainment,0.42,0.32,0.01,0.15,0.9
X-Men Legends,XB,2004.0,Role-Playing,Activision,0.62,0.24,0.0,0.04,0.9
NBA Live 2005,XB,2004.0,Sports,Electronic Arts,0.81,0.05,0.0,0.04,0.9
Harry Potter: Quidditch World Cup,PS2,2003.0,Sports,Electronic Arts,0.44,0.34,0.0,0.11,0.9
Madagascar,GBA,2005.0,Platform,Activision,0.62,0.24,0.0,0.03,0.89
Call of Juarez: Bound in Blood,PS3,2009.0,Shooter,Ubisoft,0.35,0.38,0.01,0.16,0.89
Killzone: Liberation,PSP,2006.0,Shooter,Sony Computer Entertainment,0.44,0.28,0.0,0.18,0.89
Madden NFL 08,Wii,2007.0,Sports,Electronic Arts,0.82,0.01,0.0,0.07,0.89
Sonic Chronicles: The Dark Brotherhood,DS,2008.0,Role-Playing,Sega,0.51,0.29,0.01,0.09,0.89
Tiger Woods PGA Tour 06,PS2,2005.0,Sports,Electronic Arts,0.74,0.03,0.0,0.12,0.89
Classic NES Series: The Legend of Zelda,GBA,2004.0,Adventure,Nintendo,0.46,0.17,0.24,0.02,0.89
The Jak and Daxter Collection,PS3,2012.0,Platform,Sony Computer Entertainment,0.6,0.19,0.0,0.1,0.89
Fire Emblem: The Sacred Stones,GBA,2004.0,Strategy,Nintendo,0.42,0.16,0.3,0.02,0.89
Pokemon Card GB2: Here Comes Team GR!,GB,2001.0,Strategy,Nintendo,0.0,0.0,0.89,0.0,0.89
CSI: Hard Evidence,Wii,2008.0,Adventure,Ubisoft,0.36,0.43,0.0,0.1,0.89
NFL 2K2,PS2,2001.0,Sports,Sega,0.44,0.34,0.0,0.11,0.89
EA Sports UFC 2,PS4,2016.0,Sports,Electronic Arts,0.28,0.47,0.0,0.14,0.89
Monster 4X4: World Circuit,Wii,2006.0,Racing,Ubisoft,0.81,0.0,0.01,0.07,0.89
Call of Duty: Modern Warfare 2,PC,2009.0,Shooter,Activision,0.01,0.79,0.0,0.09,0.89
Wii Fit U,WiiU,2013.0,Sports,Nintendo,0.39,0.24,0.21,0.06,0.89
Kingdoms of Amalur: Reckoning,X360,2012.0,Role-Playing,Electronic Arts,0.55,0.25,0.01,0.07,0.89
Call of Duty: Modern Warfare 3,Wii,2011.0,Shooter,Activision,0.6,0.21,0.0,0.08,0.89
MLB 2001,PS,2000.0,Sports,Sony Computer Entertainment,0.49,0.34,0.0,0.06,0.89
Grand Theft Auto IV,PC,2008.0,Action,Take-Two Interactive,0.01,0.79,0.0,0.08,0.88
NBA 2K6,PS2,2005.0,Action,Take-Two Interactive,0.43,0.34,0.0,0.11,0.88
Phantasy Star Portable 2,PSP,2009.0,Role-Playing,Sega,0.08,0.11,0.62,0.06,0.88
NBA 2K14,XOne,2013.0,Sports,Take-Two Interactive,0.7,0.11,0.0,0.06,0.87
Gold's Gym: Dance Workout,Wii,2010.0,Sports,Ubisoft,0.71,0.11,0.0,0.06,0.87
Tom Clancy's Ghost Recon: Island Thunder,XB,2003.0,Shooter,Ubisoft,0.61,0.24,0.0,0.03,0.87
Mercenaries 2: World in Flames,PS3,2008.0,Shooter,Electronic Arts,0.29,0.4,0.02,0.16,0.87
NCAA Football 13,PS3,2012.0,Action,Electronic Arts,0.82,0.0,0.0,0.06,0.87
Kingdoms of Amalur: Reckoning,PS3,2012.0,Role-Playing,Electronic Arts,0.37,0.3,0.09,0.11,0.87
NFL GameDay '97,PS,1996.0,Sports,Sony Computer Entertainment,0.48,0.33,0.0,0.06,0.87
Beijing 2008,PS3,2008.0,Sports,Sega,0.14,0.54,0.01,0.18,0.87
The House of the Dead: Overkill,Wii,2009.0,Shooter,Sega,0.46,0.31,0.02,0.09,0.87
Tony Hawk's Project 8,PS2,2006.0,Sports,Activision,0.72,0.03,0.0,0.12,0.87
NHL 2000,PS,1998.0,Sports,Electronic Arts,0.48,0.33,0.0,0.06,0.87
Brothers in Arms: Hell's Highway,X360,2008.0,Shooter,Ubisoft,0.47,0.31,0.0,0.09,0.87
Fight Night Round 2,PS2,2005.0,Fighting,Electronic Arts,0.72,0.03,0.0,0.12,0.87
Triple Play 2002,PS2,2002.0,Sports,Electronic Arts,0.43,0.33,0.0,0.11,0.87
Ghostbusters: The Video Game,PS3,2009.0,Action,Sony Computer Entertainment,0.34,0.37,0.0,0.15,0.86
Madden Football 64,N64,1997.0,Sports,Electronic Arts,0.81,0.04,0.0,0.01,0.86
MLB 99,PS,1998.0,Sports,Sony Computer Entertainment,0.48,0.32,0.0,0.06,0.86
The Legendary Starfy,DS,2008.0,Platform,Nintendo,0.61,0.0,0.2,0.05,0.86
2010 FIFA World Cup South Africa,X360,2010.0,Sports,Electronic Arts,0.32,0.43,0.02,0.09,0.86
Skate 2,PS3,2009.0,Sports,Electronic Arts,0.46,0.26,0.01,0.12,0.85
FIFA Soccer 08,DS,2007.0,Sports,Electronic Arts,0.1,0.65,0.0,0.11,0.85
Need for Speed: Nitro,Wii,2009.0,Racing,Electronic Arts,0.46,0.31,0.0,0.08,0.85
Madden NFL 09 All-Play,Wii,2008.0,Sports,Electronic Arts,0.78,0.01,0.0,0.07,0.85
NBA 2K8,X360,2007.0,Sports,Take-Two Interactive,0.79,0.0,0.0,0.07,0.85
Far Cry: Primal,XOne,2016.0,Action,Ubisoft,0.46,0.32,0.0,0.07,0.85
Tiger Woods PGA Tour 2005,XB,2004.0,Sports,Electronic Arts,0.64,0.18,0.0,0.03,0.85
Army of Two: The 40th Day,PS3,2010.0,Shooter,Electronic Arts,0.44,0.27,0.01,0.12,0.85
Harry Potter and the Order of the Phoenix,DS,2007.0,Action,Electronic Arts,0.28,0.47,0.0,0.1,0.85
Burnout Legends,PSP,2005.0,Racing,Electronic Arts,0.7,0.06,0.0,0.09,0.85
WWE 2K15,PS3,2014.0,Sports,Take-Two Interactive,0.36,0.35,0.0,0.14,0.85
Overwatch,XOne,2016.0,Shooter,Activision,0.52,0.25,0.0,0.08,0.85
